Date,adjclose,close,high,low,open,volume
2020-01-02,63.102230072021484,79.87999725341797,80.22000122070312,79.38999938964844,79.79000091552734,1416232
2020-01-03,63.4419059753418,80.30999755859375,81.19000244140625,80.25,80.97000122070312,1622784
2020-01-06,63.01532745361328,79.7699966430664,79.87999725341797,79.2300033569336,79.7300033569336,2129260
2020-01-07,64.14497375488281,81.19999694824219,81.19999694824219,80.18000030517578,80.81999969482422,2417468
2020-01-08,63.90800094604492,80.9000015258789,81.25,80.02999877929688,81.22000122070312,1719114
2020-01-09,64.37406921386719,81.48999786376953,81.83999633789062,81.16999816894531,81.5,3014295
2020-01-10,65.17192077636719,82.5,82.5,81.6050033569336,81.62999725341797,2875353
2020-01-13,65.1561279296875,82.4800033569336,82.58000183105469,81.7300033569336,82.0999984741211,1434635
2020-01-14,65.7011947631836,83.16999816894531,83.5199966430664,82.7699966430664,82.95999908447266,2703855
2020-01-15,66.08829498291016,83.66000366210938,83.7699966430664,83.0999984741211,83.0999984741211,2039328
2020-01-16,66.72024536132812,84.45999908447266,84.45999908447266,83.87999725341797,84.0,3058484
2020-01-17,66.39636993408203,84.05000305175781,84.95999908447266,84.01000213623047,84.73999786376953,2401336
2020-01-20,66.30158996582031,83.93000030517578,84.4000015258789,83.83000183105469,84.0,1980399
2020-01-21,65.94608306884766,83.4800033569336,83.87999725341797,83.19999694824219,83.87999725341797,1923944
2020-01-22,66.71234893798828,84.44999694824219,84.55999755859375,83.48999786376953,83.5,3656698
2020-01-23,66.76766204833984,84.5199966430664,84.94999694824219,84.26000213623047,84.44000244140625,2105704
2020-01-24,67.09943389892578,84.94000244140625,85.4000015258789,84.7699966430664,84.9000015258789,2839291
2020-01-28,66.37267303466797,84.0199966430664,84.06999969482422,83.54000091552734,83.69999694824219,2273413
2020-01-29,66.8387451171875,84.61000061035156,84.86000061035156,84.16000366210938,84.44000244140625,1877335
2020-01-30,67.49441528320312,85.44000244140625,85.44000244140625,84.68000030517578,84.83999633789062,3176161
2020-01-31,67.35221862792969,85.26000213623047,85.97000122070312,84.9000015258789,85.56999969482422,6713764
2020-02-03,66.79135131835938,84.55000305175781,84.94999694824219,84.05999755859375,84.1500015258789,2139581
2020-02-04,66.60175323486328,84.30999755859375,84.69000244140625,83.96499633789062,84.4000015258789,2564013
2020-02-05,65.78809356689453,83.27999877929688,85.0,83.27999877929688,85.0,3166202
2020-02-06,66.5385513305664,84.2300033569336,84.3499984741211,83.5,83.93000030517578,3581220
2020-02-07,66.98885345458984,84.80000305175781,84.80000305175781,83.94999694824219,84.62000274658203,3368097
2020-02-10,66.60964965820312,84.31999969482422,84.73999786376953,84.08000183105469,84.73999786376953,1818742
2020-02-11,66.92564392089844,84.72000122070312,85.0,84.5199966430664,84.80000305175781,1913033
2020-02-12,69.6589126586914,88.18000030517578,88.55999755859375,86.19999694824219,86.19999694824219,7132862
2020-02-13,70.09339904785156,88.7300033569336,88.7300033569336,87.87000274658203,88.48999786376953,4143011
2020-02-14,71.87871551513672,90.98999786376953,91.05000305175781,89.30000305175781,89.4000015258789,7942600
2020-02-17,70.67008209228516,89.45999908447266,90.87999725341797,89.25,90.79000091552734,2619663
2020-02-18,71.30204010009766,90.26000213623047,90.26000213623047,89.58000183105469,89.80999755859375,3817424
2020-02-19,70.95465850830078,87.83000183105469,88.1500015258789,87.5,88.01000213623047,8050978
2020-02-20,70.97081756591797,87.8499984741211,88.0999984741211,87.41000366210938,87.83000183105469,2902590
2020-02-21,71.73828887939453,88.80000305175781,88.80000305175781,87.52999877929688,87.8499984741211,2506023
2020-02-24,71.08390808105469,87.98999786376953,87.98999786376953,87.4000015258789,87.61000061035156,2432907
2020-02-25,70.12254333496094,86.80000305175781,87.27999877929688,85.8499984741211,86.30000305175781,3475833
2020-02-26,68.95115661621094,85.3499984741211,86.05000305175781,85.06999969482422,85.33000183105469,3362264
2020-02-27,68.20791625976562,84.43000030517578,85.63999938964844,83.7300033569336,85.12000274658203,4435151
2020-02-28,66.06708526611328,81.77999877929688,82.58999633789062,81.2699966430664,82.25,7654504
2020-03-02,65.0087661743164,80.47000122070312,80.7699966430664,78.75,80.05000305175781,4714534
2020-03-03,63.91008377075195,79.11000061035156,81.94999694824219,79.08999633789062,81.5,4537570
2020-03-04,62.29436111450195,77.11000061035156,78.4000015258789,76.5,78.16999816894531,4610814
2020-03-05,62.00353240966797,76.75,78.30000305175781,76.38999938964844,78.1500015258789,5804404
2020-03-06,59.72535705566406,73.93000030517578,75.5,73.93000030517578,75.33000183105469,4995332
2020-03-09,55.86376190185547,69.1500015258789,71.95999908447266,69.1500015258789,71.0,7669261
2020-03-10,59.27294921875,73.37000274658203,73.37000274658203,65.75,67.52999877929688,8874773
2020-03-11,55.338653564453125,68.5,73.5,68.5,73.06999969482422,8171997
2020-03-12,50.98426818847656,63.11000061035156,68.73999786376953,63.11000061035156,67.9000015258789,10247518
2020-03-13,53.60982894897461,66.36000061035156,66.36000061035156,57.15999984741211,60.470001220703125,17021972
2020-03-16,48.24561309814453,59.720001220703125,65.37999725341797,59.720001220703125,61.439998626708984,10752353
2020-03-17,54.64389419555664,67.63999938964844,67.9000015258789,59.70000076293945,59.720001220703125,11345264
2020-03-18,51.662879943847656,63.95000076293945,66.9000015258789,61.959999084472656,65.95999908447266,10404325
2020-03-19,49.23928451538086,60.95000076293945,68.5,60.45000076293945,66.19000244140625,10958660
2020-03-20,48.39910888671875,59.90999984741211,64.41000366210938,59.90999984741211,64.41000366210938,10756489
2020-03-23,43.83468246459961,54.2599983215332,57.79999923706055,53.439998626708984,57.709999084472656,10019723
2020-03-24,46.04822540283203,57.0,58.08000183105469,55.0,56.0099983215332,6944322
2020-03-25,50.41068649291992,62.400001525878906,62.400001525878906,57.880001068115234,62.0,7698259
2020-03-26,49.925968170166016,61.79999923706055,63.209999084472656,60.060001373291016,62.900001525878906,5841282
2020-03-27,46.5814094543457,57.65999984741211,63.790000915527344,57.65999984741211,63.279998779296875,12591507
2020-03-30,51.662879943847656,63.95000076293945,63.95000076293945,57.849998474121094,57.849998474121094,5825869
2020-03-31,49.94212341308594,61.81999969482422,68.18000030517578,61.0,64.5999984741211,9250686
2020-04-01,51.43666458129883,63.66999816894531,64.0,61.56999969482422,64.0,6392579
2020-04-02,49.47356414794922,61.2400016784668,62.290000915527344,59.68000030517578,61.25,8116112
